Pattern	POS
فَعَلَ	v
فَعَلْتُ	v
فَعَلْنَا	v
فَعَلْتَ	v
فَعَلْتِ	v
فَعَلْتُمَا	v
فَعَلْتُمْ	v
فَعَلْتُنَّ	v
فَعَلَ	v
فَعَلَتْ	v
فَعَلاَ	v
فَعَلَتَا	v
فَعَلُوا	v
فَعَلْنَ	v
أَفْعُلُ	v
نَفْعُلُ	v
تَفْعُلُ	v
تَفْعُلِينَ	v
تَفْعُلاَنِ	v
تَفْعُلُونَ	v
تَفْعُلْنَ	v
يَفْعُلُ	v
تَفْعُلُ	v
يَفْعُلاَنِ	v
تَفْعُلاَنِ	v
يَفْعُلُونَ	v
يَفْعُلْنَ	v
أَفْعُلَ	v
نَفْعُلَ	v
تَفْعُلَ	v
تَفْعُلِي	v
تَفْعُلاَ	v
تَفْعُلُوا	v
تَفْعُلْنَ	v
يَفْعُلَ	v
تَفْعُلَ	v
يَفْعُلاَ	v
تَفْعُلاَ	v
يَفْعُلُوا	v
يَفْعُلْنَ	v
أَفْعُلْ	v
نَفْعُلْ	v
تَفْعُلْ	v
تَفْعُلِي	v
تَفْعُلاَ	v
تَفْعُلُوا	v
تَفْعُلْنَ	v
يَفْعُلْ	v
تَفْعُلْ	v
يَفْعُلاَ	v
تَفْعُلاَ	v
يَفْعُلُوا	v
يَفْعُلْنَ	v
أَفْعُلَنَّ	v
نَفْعُلَنَّ	v
تَفْعُلَنَّ	v
تَفْعُلِنَّ	v
تَفْعُلاَنِّ	v
تَفْعُلُنَّ	v
تَفْعُلْنَانِّ	v
يَفْعُلَنَّ	v
تَفْعُلَنَّ	v
يَفْعُلاَنِّ	v
تَفْعُلاَنِّ	v
يَفْعُلُنَّ	v
يَفْعُلْنَانِّ	v
افْعُلْ	v
افْعُلِي	v
افْعُلاَ	v
افْعُلُوا	v
افْعُلْنَ	v
افْعُلَنَّ	v
افْعُلِنَّ	v
افْعُلاَنِّ	v
افْعُلُنَّ	v
افْعُلْنَانِّ	v
أَفْعِلُ	v
نَفْعِلُ	v
تَفْعِلُ	v
تَفْعِلِينَ	v
تَفْعِلاَنِ	v
تَفْعِلُونَ	v
تَفْعِلْنَ	v
يَفْعِلُ	v
تَفْعِلُ	v
يَفْعِلاَنِ	v
تَفْعِلاَنِ	v
يَفْعِلُونَ	v
يَفْعِلْنَ	v
أَفْعِلَ	v
نَفْعِلَ	v
تَفْعِلَ	v
تَفْعِلِي	v
تَفْعِلاَ	v
تَفْعِلُوا	v
تَفْعِلْنَ	v
يَفْعِلَ	v
تَفْعِلَ	v
يَفْعِلاَ	v
تَفْعِلاَ	v
يَفْعِلُوا	v
يَفْعِلْنَ	v
أَفْعِلْ	v
نَفْعِلْ	v
تَفْعِلْ	v
تَفْعِلِي	v
تَفْعِلاَ	v
تَفْعِلُوا	v
تَفْعِلْنَ	v
يَفْعِلْ	v
تَفْعِلْ	v
يَفْعِلاَ	v
تَفْعِلاَ	v
يَفْعِلُوا	v
يَفْعِلْنَ	v
أَفْعِلَنَّ	v
نَفْعِلَنَّ	v
تَفْعِلَنَّ	v
تَفْعِلِنَّ	v
تَفْعِلاَنِّ	v
تَفْعِلُنَّ	v
تَفْعِلْنَانِّ	v
يَفْعِلَنَّ	v
تَفْعِلَنَّ	v
يَفْعِلاَنِّ	v
تَفْعِلاَنِّ	v
يَفْعِلُنَّ	v
يَفْعِلْنَانِّ	v
افْعِلْ	v
افْعِلِي	v
افْعِلاَ	v
افْعِلُوا	v
افْعِلْنَ	v
افْعِلَنَّ	v
افْعِلِنَّ	v
افْعِلاَنِّ	v
افْعِلُنَّ	v
افْعِلْنَانِّ	v
أَفْعَلُ	v
نَفْعَلُ	v
تَفْعَلُ	v
تَفْعَلِينَ	v
تَفْعَلاَنِ	v
تَفْعَلُونَ	v
تَفْعَلْنَ	v
يَفْعَلُ	v
تَفْعَلُ	v
يَفْعَلاَنِ	v
تَفْعَلاَنِ	v
يَفْعَلُونَ	v
يَفْعَلْنَ	v
أَفْعَلَ	v
نَفْعَلَ	v
تَفْعَلَ	v
تَفْعَلِي	v
تَفْعَلاَ	v
تَفْعَلُوا	v
تَفْعَلْنَ	v
